27,8,15,8,15,15,15,15,15,15,8,15,15,15,15,15,15,8
15,8,15,15,15,15,15,8,15,15,15,15,15,8,15,15,15,15
15,8,15,15,8,8,8,8,8,8,8,8,8,8,8,8,15,15
15,8,15,15,8,15,15,15,15,15,15,15,15,15,15,8,15,15
15,8,8,15,8,15,15,8,8,8,8,8,8,8,15,8,15,8
15,8,15,15,8,15,15,15,15,15,15,15,34,8,15,8,15,15
15,8,15,8,8,8,8,8,8,8,8,8,8,8,15,8,15,15
15,8,15,15,15,8,15,15,15,15,15,15,8,15,15,8,8,15
15,8,15,15,15,15,15,15,8,15,15,15,15,15,15,8,15,15
15,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,15,15
15,15,15,15,15,15,8,15,15,15,15,15,15,15,8,15,15,15
15,15,8,15,15,15,15,15,15,15,8,15,15,15,15,15,15,15
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
27,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,33,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,2,0
0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,34,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0
0,0,44,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,2
